                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
111,0.79438,0.3833,0.82024,0.92463,0.2951,0.81434,0.98202,0.98275,0.99425,0.82963,0.59931,0.31873,0.79745,0.66178,0.20287,0.7928,0.0009209,0.0009209,0.0009209
112,0.80029,0.3857,0.82816,0.92448,0.29365,0.82079,0.98149,0.98033,0.99411,0.83013,0.59398,0.31854,0.79857,0.65804,0.20491,0.7929,0.000911,0.000911,0.000911
113,0.78078,0.38038,0.82608,0.90264,0.29432,0.81886,0.979,0.98601,0.99421,0.83586,0.57891,0.31384,0.79598,0.64306,0.19822,0.79125,0.0009011,0.0009011,0.0009011
114,0.79465,0.38522,0.82517,0.92278,0.29793,0.81889,0.98468,0.97151,0.9938,0.82562,0.6026,0.32129,0.79631,0.66221,0.20544,0.792,0.0008912,0.0008912,0.0008912
115,0.79166,0.38471,0.82803,0.91593,0.2993,0.82205,0.98244,0.97839,0.99406,0.82874,0.58785,0.31408,0.79528,0.64994,0.20657,0.79123,0.0008813,0.0008813,0.0008813
116,0.78569,0.38034,0.82687,0.91665,0.30102,0.82089,0.98586,0.97589,0.99402,0.83429,0.58381,0.31188,0.79538,0.64623,0.2036,0.79088,0.0008714,0.0008714,0.0008714
117,0.77411,0.37887,0.825,0.89243,0.28618,0.81692,0.98137,0.98001,0.99416,0.83972,0.56786,0.30822,0.7942,0.62574,0.19974,0.78903,0.0008615,0.0008615,0.0008615
118,0.79224,0.38305,0.82161,0.90828,0.28962,0.81505,0.9819,0.97577,0.99395,0.83671,0.57842,0.3107,0.79374,0.63366,0.20293,0.78945,0.0008516,0.0008516,0.0008516
119,0.76907,0.37597,0.81927,0.89006,0.28776,0.8131,0.98539,0.97767,0.99412,0.8396,0.57273,0.30735,0.79328,0.63138,0.19991,0.78997,0.0008417,0.0008417,0.0008417
120,0.76695,0.37389,0.82086,0.88317,0.28208,0.81484,0.97961,0.98464,0.99439,0.84403,0.56488,0.30129,0.79347,0.62228,0.19095,0.78905,0.0008318,0.0008318,0.0008318
121,0.75163,0.36908,0.81941,0.86974,0.27952,0.81221,0.98436,0.98051,0.99409,0.84414,0.56373,0.30396,0.79332,0.62196,0.19337,0.78843,0.0008219,0.0008219,0.0008219
122,0.77374,0.37557,0.82072,0.89637,0.28771,0.81358,0.98157,0.97601,0.99386,0.8422,0.56784,0.30444,0.79413,0.63109,0.20189,0.78922,0.000812,0.000812,0.000812
123,0.75698,0.37118,0.82328,0.87309,0.28473,0.8157,0.98278,0.98201,0.99413,0.84554,0.55182,0.30054,0.79132,0.61793,0.19172,0.78815,0.0008021,0.0008021,0.0008021
124,0.74611,0.36929,0.82119,0.87378,0.28602,0.8152,0.98372,0.97601,0.99417,0.83911,0.56946,0.30529,0.79262,0.62567,0.19953,0.7891,0.0007922,0.0007922,0.0007922
125,0.75126,0.3662,0.82057,0.87078,0.2766,0.81498,0.98462,0.97751,0.99415,0.84326,0.56746,0.30176,0.79296,0.63068,0.19554,0.78823,0.0007823,0.0007823,0.0007823
126,0.74931,0.36971,0.81928,0.86537,0.28169,0.81314,0.9806,0.98515,0.9943,0.84881,0.5485,0.2988,0.79165,0.60042,0.1883,0.78725,0.0007724,0.0007724,0.0007724
127,0.74399,0.36416,0.81873,0.86301,0.27617,0.81146,0.9838,0.98501,0.99435,0.85029,0.537,0.29297,0.79097,0.58999,0.18786,0.78613,0.0007625,0.0007625,0.0007625
128,0.73852,0.36236,0.8174,0.85989,0.27439,0.81037,0.97556,0.98251,0.99382,0.84599,0.55117,0.30007,0.79076,0.6148,0.19847,0.78673,0.0007526,0.0007526,0.0007526
129,0.72691,0.35961,0.81801,0.85325,0.27758,0.81225,0.98503,0.98643,0.99444,0.8474,0.54864,0.29617,0.79067,0.60623,0.188,0.78604,0.0007427,0.0007427,0.0007427
